,gen,max_speed_indi,max_matSelectionProb_indi,max_vision_indi,avg_speed_indi,avg_matSelectionProb_indi,avg_vision_indi,population_indi,max_speed_pred,max_matSelectionProb_pred,max_vision_pred,avg_speed_pred,avg_matSelectionProb_pred,avg_vision_pred,population_pred
0,1,2.1,0.6,20,2.0064516129032257,0.49975806451612903,14.987903225806452,248,2.1,0.58,20,2.003260869565217,0.5,14.130434782608695,92
1,2,2.2,0.6,20,2.010975609756098,0.5025,14.420731707317072,164,2.1,0.5700000000000001,20,2.0078125,0.495625,14.09375,64
2,3,2.2,0.5700000000000001,18,2.026666666666667,0.5001666666666666,12.583333333333334,60,2.1,0.53,20,2.0124999999999997,0.4907142857142857,12.857142857142858,56
3,4,2.2,0.5900000000000001,18,2.0458333333333334,0.4995833333333333,11.604166666666666,48,2.1,0.59,20,2.0125,0.4992857142857143,13.446428571428571,56
4,5,2.2,0.55,16,2.028125,0.49125,10.0,32,2.1,0.58,20,2.0183333333333335,0.49600000000000005,10.6,60
5,6,2.2,0.5,11,2.05,0.455625,8.71875,32,2.2,0.58,20,2.0277777777777777,0.49138888888888893,11.472222222222221,72
6,7,2.2,0.5,11,2.1166666666666667,0.40166666666666667,5.083333333333333,24,2.2,0.52,20,2.0357142857142856,0.48583333333333334,9.107142857142858,84
7,8,2.2,0.4,11,2.1333333333333333,0.3825,2.3333333333333335,24,2.2,0.59,20,2.027,0.48729999999999996,6.21,100
8,9,2.3000000000000003,0.41000000000000003,12,2.140909090909091,0.3795454545454545,1.8181818181818181,44,2.2,0.6,20,2.0129310344827585,0.4987931034482759,3.4913793103448274,116
9,10,2.3000000000000003,0.44000000000000006,9,2.140789473684211,0.3742105263157895,0.6710526315789473,76,2.1,0.58,20,2.0121428571428575,0.5014285714285714,2.942857142857143,140
10,11,2.3000000000000003,0.48000000000000004,8,2.1660714285714286,0.3658035714285715,-1.7053571428571428,112,2.2,0.66,20,2.0211956521739127,0.5041304347826088,1.6032608695652173,184
11,12,2.3000000000000003,0.48000000000000004,10,2.1905555555555556,0.35950000000000004,-2.0444444444444443,180,2.3000000000000003,0.58,20,2.0294117647058827,0.49624999999999997,2.5808823529411766,272
12,13,2.4000000000000004,0.49000000000000005,18,2.2078125,0.35140625000000003,-2.359375,256,2.3000000000000003,0.61,20,2.053061224489796,0.4871173469387755,2.354591836734694,392
13,14,2.4000000000000004,0.49000000000000005,18,2.2083333333333335,0.35875,-2.6319444444444446,288,2.3000000000000003,0.6599999999999999,20,2.069485294117647,0.4781801470588235,3.485294117647059,544
14,15,2.5000000000000004,0.48,17,2.235526315789474,0.35864035087719304,-4.131578947368421,228,2.4000000000000004,0.6599999999999999,20,2.0883928571428574,0.4726785714285714,4.64030612244898,784
15,16,2.4000000000000004,0.46,17,2.227777777777778,0.36041666666666666,-5.986111111111111,72,2.4000000000000004,0.7399999999999999,20,2.1058243727598565,0.4678225806451613,5.648745519713262,1116
16,17,2.3000000000000003,0.33,-12,2.3000000000000003,0.33,-12.0,4,2.5000000000000004,0.7399999999999999,20,2.120969773299748,0.46976070528967256,5.871536523929471,1588
